Type	ID	Name	Description	Target	MoA
cp	BRD-A97104540	fenoterol	Adrenergic receptor agonist	ADRB2, ADRB1, ADRB3	Adrenergic receptor agonist
cp	BRD-K84566043	fenpiverinium	Acetylcholine receptor antagonist		Acetylcholine receptor antagonist
cp	BRD-K28168037	fenretinide	Apoptosis stimulant	CYP2C8, CYP3A5, RARA, RARG	Apoptosis stimulant, Retinoid receptor agonist
cp	BRD-K34170797	fexaramine	FXR agonist	NR1H4	FXR agonist
cp	BRD-A73368467	fexofenadine	Histamine receptor antagonist	HRH1	Histamine receptor antagonist
cp	BRD-K28667196	fillalbin	Increases arterial blood pressure		Increases arterial blood pressure
cp	BRD-K01095011	finasteride	5-alpha reductase inhibitor	SRD5A2, SRD5A1, AKR1D1, AR	5-alpha reductase inhibitor
cp	BRD-A50675702	fipronil	GABA gated chloride channel blocker		GABA gated chloride channel blocker, Chloride channel blocker
cp	BRD-A07824748	flavanone	11-beta-HSD1 inhibitor	ADORA3, HSD11B1	11-beta-HSD1 inhibitor
cp	BRD-K30296925	flavokavain-b	Antineoplastic	HIF1A	Antineoplastic
cp	BRD-K47639036	flavoxate	Acetylcholine receptor antagonist	CHRM1, CHRM2	Acetylcholine receptor antagonist
cp	BRD-A09472452	flecainide	Sodium channel blocker	SCN5A, KCNA5, KCNA7, SCN4A	Sodium channel blocker
cp	BRD-A80638690	floxuridine	DNA synthesis inhibitor	TYMS	DNA synthesis inhibitor
cp	BRD-K86003836	flubendazole	Tubulin inhibitor	TUBB	Tubulin inhibitor
cp	BRD-A13650332	flucloxacillin	Bacterial cell wall synthesis inhibitor		Bacterial cell wall synthesis inhibitor
cp	BRD-K05977355	fluconazole	Sterol demethylase inhibitor	CYP3A5, CYP3A7	Sterol demethylase inhibitor
cp	BRD-K82143716	flucytosine	Antifungal	DNMT1	Antifungal
cp	BRD-K66788707	fludarabine	DNA synthesis inhibitor	ADA, DCK, POLA1, RRM1, RRM2	DNA synthesis inhibitor, DNA repair enzyme inhibitor, Purine antagonist
cp	BRD-A38749782	fludrocortisone	Glucocorticoid receptor agonist	NR3C2, AR, NR3C1	Glucocorticoid receptor agonist, Mineralocorticoid receptor agonist
cp	BRD-A49765801	fludroxycortide	Glucocorticoid receptor agonist	NR3C1, SERPINA6	Glucocorticoid receptor agonist
cp	BRD-K44067360	flufenamic-acid	Chloride channel blocker	AKR1C3, AR, PTGS1, PTGS2, ANO1, GJA1, GJA10, GJA3, GJA4, GJA5, GJA8, GJA9, GJB1, GJB2, GJB3, GJB4, GJB5, GJB6, GJB7, GJC1, GJC2, GJC3, GJD2, GJD3, GJD4, GJE1, PANX1, PANX2, PANX3, PKD2L1, TRPC5, TRPM2, TRPM5	Chloride channel blocker
cp	BRD-K98769987	flumazenil	Benzodiazepine receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA5, GABRA4, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ	Benzodiazepine receptor antagonist
cp	BRD-A01346607	flumetasone	Glucocorticoid receptor agonist	NR3C1, PLA2G1B	Glucocorticoid receptor agonist
cp	BRD-K29582677	flunarizine	Calcium channel blocker	CACNA1G, CACNA1H, CACNA1I, CALM1, CYP2J2, HRH1	Calcium channel blocker
cp	BRD-A65449987	flunisolide	Cytochrome P450 inhibitor	NR3C1	Cytochrome P450 inhibitor
cp	BRD-K94353609	fluocinolone	Glucocorticoid receptor agonist	NR3C1, SERPINA6	Glucocorticoid receptor agonist, Corticosteroid agonist
cp	BRD-A15297126	fluocinonide	Glucocorticoid receptor agonist	NR3C1, SERPINA6, SMO	Glucocorticoid receptor agonist
cp	BRD-K57886322	fluocinonide	Glucocorticoid receptor agonist	NR3C1, SERPINA6, SMO	Glucocorticoid receptor agonist
cp	BRD-A13133631	fluorometholone	Glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist
cp	BRD-K01779529	fluoropyruvate	Pyruvate dehydrogenase kinase inhibitor		Pyruvate dehydrogenase kinase inhibitor
cp	BRD-A31159102	fluoxetine	Selective serotonin reuptake inhibitor (SSRI)	SLC6A4, ANO1, CYP2C19, HTR2B	Selective serotonin reuptake inhibitor (SSRI)
cp	BRD-K70487031	flupentixol	Dopamine receptor antagonist	DRD2, DRD1, ADRA1A, CHRM1, DRD3, DRD5, HTR2A	Dopamine receptor antagonist
cp	BRD-K15715913	fluperlapine	Serotonin receptor antagonist	DRD2, HTR2A, HTR6, HTR7	Serotonin receptor antagonist
cp	BRD-K55127134	fluphenazine	Dopamine receptor antagonist	DRD2, DRD1, CALM1, CHRNA7, DRD5, HRH1, HTR2A, HTR6, HTR7	Dopamine receptor antagonist
cp	BRD-K50720187	flupirtine	Glutamate receptor antagonist	KCNQ2, ADRA2A, KCNQ1, KCNQ3	Glutamate receptor antagonist
cp	BRD-K31611373	fluprostenol	Prostanoid receptor agonist	PTGER3, PTGFR, TBXA2R	Prostanoid receptor agonist
cp	BRD-A86044036	flurbiprofen	Cyclooxygenase inhibitor	PTGS1, PTGS2	Cyclooxygenase inhibitor
cp	BRD-K67445247	flurofamide	Urease inhibitor		Urease inhibitor
cp	BRD-K77947974	fluspirilene	Dopamine receptor antagonist	DRD2, HTR2A, CACNG1, HRH1, HTR1A, HTR1D, HTR1E	Dopamine receptor antagonist
cp	BRD-K28307902	flutamide	Androgen receptor antagonist	AR, AHR, CYP2C19	Androgen receptor antagonist
cp	BRD-K62310379	fluticasone	Glucocorticoid receptor agonist	NR3C1, CYP3A5, CYP3A7, NR3C2, PGR, PLA2G4A	Glucocorticoid receptor agonist
cp	BRD-K14791739	fluticasone	Glucocorticoid receptor agonist	NR3C1, CYP3A5, CYP3A7, NR3C2, PGR, PLA2G4A	Glucocorticoid receptor agonist
cp	BRD-K66296774	fluvastatin	HMGCR inhibitor	HMGCR, CYP2C8	HMGCR inhibitor
cp	BRD-K72676686	fluvoxamine	Selective serotonin reuptake inhibitor (SSRI)	SLC6A4, CYP2C19	Selective serotonin reuptake inhibitor (SSRI)
cp	BRD-A49734948	foliosidine	Plant alkaloid		Plant alkaloid
cp	BRD-A31801025	formestane	Aromatase inhibitor	CYP19A1	Aromatase inhibitor
cp	BRD-M00539986	formoterol	Adrenergic receptor agonist	ADRB2, CYP2C19	Adrenergic receptor agonist
cp	BRD-A70449690	forskolin	Adenylyl cyclase activator	ADCY2, ADCY5, GNAS	Adenylyl cyclase activator
cp	BRD-A51382177	fosinopril	ACE inhibitor	ACE, ABCG2	ACE inhibitor
cp	BRD-K20285085	fostamatinib	SYK inhibitor	SYK, FLT3, RET	SYK inhibitor
cp	BRD-K76587808	fraxetin	Antioxidant		Antioxidant
cp	BRD-K66944906	fraxidin	Carbonic anhydrase inhibitor	CA1	Carbonic anhydrase inhibitor
cp	BRD-A83237092	fulvestrant	Estrogen receptor antagonist	ESR1, EPHX2, ESR2, GPER1	Estrogen receptor antagonist
cp	BRD-A71157293	fursultiamine	Vitamin B		Vitamin B
cp	BRD-K87049188	fusaric-acid	Dopamine beta hydroxylase inhibitor	DBH	Dopamine beta hydroxylase inhibitor
cp	BRD-K93280214	gabazine	GABA receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRG2	GABA receptor antagonist
cp	BRD-K59256312	gabexate	Serine protease inhibitor	PRSS1, TPSAB1	Serine protease inhibitor
cp	BRD-K49481516	galantamine	Acetylcholinesterase inhibitor	ACHE, BCHE, CHRNA1, CHRNA10, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNA9, CHRNB1, CHRNB2, CHRNB3, CHRNB4, CHRND, CHRNE, CHRNG	Acetylcholinesterase inhibitor
cp	BRD-K20152659	gamma-homolinolenic-acid	Cholesterol inhibitor	PTGS1, PTGS2	Cholesterol inhibitor, Platelet aggregation inhibitor, Prostanoid receptor agonist, Prostanoid receptor stimulant
cp	BRD-K18059238	gamma-linolenic-acid	Cyclooxygenase inhibitor	TBXAS1	Cyclooxygenase inhibitor, Prostanoid receptor agonist
cp	BRD-K22662435	ganciclovir	DNA polymerase inhibitor		DNA polymerase inhibitor
cp	BRD-K77998258	ganglioside	SRC activator		SRC activator
cp	BRD-A74980173	gatifloxacin	Bacterial DNA gyrase inhibitor		Bacterial DNA gyrase inhibitor
cp	BRD-K49890030	gavestinel	Glutamate receptor antagonist	GLRB	Glutamate receptor antagonist
cp	BRD-A17819071	gedunin	HSP inhibitor	HSP90AA1	HSP inhibitor
cp	BRD-K64052750	gefitinib	EGFR inhibitor	EGFR, CYP2C19	EGFR inhibitor
cp	BRD-A19500257	geldanamycin	HSP inhibitor	HSP90AA1, HSP90AB1	HSP inhibitor
cp	BRD-A17535965	gelsemine	Acetylcholine receptor antagonist	GLRA3	Acetylcholine receptor antagonist, Glycine receptor antagonist
cp	BRD-K15108141	gemcitabine	Ribonucleotide reductase inhibitor	RRM1, CMPK1, RRM2, TYMS	Ribonucleotide reductase inhibitor
cp	BRD-K11129031	gemfibrozil	Lipoprotein lipase activator	PPARA, CYP2C8, LPL, SLCO1B1, SLCO1B3, SLCO2B1	Lipoprotein lipase activator
cp	BRD-A04308630	genipin	Choleretic agent		Choleretic agent
cp	BRD-K43797669	genistein	Tyrosine kinase inhibitor	CFTR, ESR2, EGFR, ESR1, ESRRA, ESRRB, ESRRG, NCOA1, NCOA2, PPARG, PTK2B, TOP2A, TRPC5	Tyrosine kinase inhibitor
cp	BRD-K95402279	geranylgeraniol	Farnesyltransferase inhibitor		Farnesyltransferase inhibitor
cp	BRD-A94793051	gestrinone	Progesterone receptor antagonist	PGR, AR, ESR1	Progesterone receptor antagonist
cp	BRD-K92758126	gibberellic-acid	NFkB pathway inhibitor	AADACL2	NFkB pathway inhibitor
cp	BRD-K26117720	gingerol	Nitric oxide synthase inhibitor		Nitric oxide synthase inhibitor
cp	BRD-A65550283	ginsenoside	Steroid hormone receptor agonist		Steroid hormone receptor agonist
cp	BRD-A29082194	gitoxigenin	ATPase inhibitor	ATP1A1	ATPase inhibitor
cp	BRD-K13810148	givinostat	HDAC inhibitor	HDAC2, HDAC1, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, IL1B, IL1R2, IL6R, TNF	HDAC inhibitor
cp	BRD-K36927236	glibenclamide	Sulfonylurea	KCNJ11, ABCC8, CFTR, KCNJ5, KCNJ8, ABCA1, ABCB11, ABCC9, CPT1A, KCNJ1, SLCO2B1, TRPA1	Sulfonylurea
cp	BRD-K34776109	glimepiride	Insulin secretagogue	ABCC8, KCNJ11, KCNJ1	Insulin secretagogue
cp	BRD-K12219985	glipizide	Sulfonylurea	ABCC8, KCNJ10, KCNJ11, PPARG	Sulfonylurea
cp	BRD-K80396088	gliquidone	Sulfonylurea	ABCC8, KCNJ10, KCNJ11, KCNJ8	Sulfonylurea
cp	BRD-K54771420	glycocholic-acid	Cholesterol inhibitor	FABP6	Cholesterol inhibitor
cp	BRD-A73859745	glycodeoxycholic-acid	Apoptosis stimulant		Apoptosis stimulant
cp	BRD-A81233518	glycopyrrolate	Acetylcholine receptor antagonist	CHRM1, CHRM3, CHRM2, CHRM4, CHRM5	Acetylcholine receptor antagonist
cp	BRD-A62434282	goserelin	Gonadotropin releasing factor hormone receptor agonist	GNRHR, GNRH1, LHCGR	Gonadotropin releasing factor hormone receptor agonist, Luteinizing hormone releasing hormone agonist
cp	BRD-K19295594	gossypol	BCL inhibitor	BCL2, BCL2L1, MCL1, BCL2L2, CTGF, EGF	BCL inhibitor, MCL1 inhibitor
cp	BRD-K10860596	granisetron	Serotonin receptor antagonist	HTR3A, CYP3A5	Serotonin receptor antagonist
cp	BRD-K08273968	griseofulvin	Tubulin inhibitor	KRT12	Tubulin inhibitor
cp	BRD-A90515964	guaifenesin	Expectorant		Expectorant
cp	BRD-K62736196	guanabenz	-666	ADRA2A, ADRA2B, ADRA2C	-666
cp	BRD-K67847053	guanabenz	Adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C	Adrenergic receptor agonist
cp	BRD-K32830106	guanfacine	Adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C, CYP3A5, HCN1, HCN2, HCN3, HCN4	Adrenergic receptor agonist
cp	BRD-A59808129	guggulsterone	Cholesterol inhibitor	NR1H4, PGR, AR, ESR1, IKBKB, NR1I2, NR3C1, NR3C2	Cholesterol inhibitor, Estrogen receptor agonist, FXR antagonist, IKK inhibitor, Pregnane X receptor agonist, Progesterone receptor agonist
cp	BRD-K81709173	halcinonide	Glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist
cp	BRD-K33312228	halometasone	Glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist
cp	BRD-K67783091	haloperidol	Dopamine receptor antagonist	DRD2, DRD1, DRD3, HTR2A, CYP3A7, DRD4, DRD5, GRIN2B, HRH1, HTR1A, HTR1D, HTR2B, HTR7, KCNH1	Dopamine receptor antagonist, Psychoactive drug
cp	BRD-K07996107	harpagoside	Acetylcholinesterase inhibitor	ACHE	Acetylcholinesterase inhibitor
cp	BRD-K64517075	heliomycin	ATP synthase inhibitor		ATP synthase inhibitor
cp	BRD-A08709697	heliotrine	Pyrrolizidine alkaloid		Pyrrolizidine alkaloid
cp	BRD-A63998256	helveticoside	ATPase inhibitor	ATP1A1	ATPase inhibitor
cp	BRD-A00267231	hemado	Adenosine receptor agonist	ADORA3, ADORA1, ADORA2A, ADORA2B	Adenosine receptor agonist
cp	BRD-A77050075	heraclenol	Vitamin K antagonist		Vitamin K antagonist
cp	BRD-K81209159	herniarin	Acetylcholinesterase inhibitor	ACHE, CA1, CA12, CA14, CA4, CA6, CA9	Acetylcholinesterase inhibitor
cp	BRD-K38903228	hesperidin	Flavanone glycoside	CACNA1B	Flavanone glycoside
cp	BRD-K40990712	hexamethyleneamiloride	Sodium/hydrogen antiport inhibitor	GNRHR, ADRA2A, GNRH1, PLAU, SLC9A1	Sodium/hydrogen antiport inhibitor
cp	BRD-K04710043	hexamethylenebisacetamide	AKT inhibitor		AKT inhibitor, Differentiation inducer, NFkB pathway inhibitor
cp	BRD-A97730597	hexylcaine	Sodium channel blocker	SCN5A, SCN10A	Sodium channel blocker
cp	BRD-K99946902	hexylresorcinol	Local anesthetic	TYR	Local anesthetic
cp	BRD-K37691127	hinokitiol	Tyrosinase inhibitor	TYR	Tyrosinase inhibitor
cp	BRD-K71003802	hippeastrine	Plant alkaloid		Plant alkaloid
cp	BRD-K07325606	hispidin	PKC inhibitor	PREP, PRKCB, PTGS2, XDH	PKC inhibitor
cp	BRD-A09539288	homatropine	Acetylcholine receptor antagonist	CES1, CHRM1	Acetylcholine receptor antagonist
cp	BRD-A22769835	homochlorcyclizine	Antihistamine	HRH1	Antihistamine
cp	BRD-K76674262	homoharringtonine	Protein synthesis inhibitor	RPL3	Protein synthesis inhibitor
cp	BRD-A34751532	homosalate	HSP inducer		HSP inducer
cp	BRD-K59570838	homoveratrylamine	Dopamine analog		Dopamine analog
cp	BRD-K98493452	honokiol	AKT inhibitor	ALOX5, PTGS1, PTGS2	AKT inhibitor
cp	BRD-K15402119	huperzine-a	Acetylcholinesterase inhibitor	ACHE	Acetylcholinesterase inhibitor
cp	BRD-A77722753	hydralazine	Vasodilator	AOC3, P4HA1	Vasodilator
cp	BRD-K02715688	hydrastine	Tyrosine hydroxylase inhibitor		Tyrosine hydroxylase inhibitor
cp	BRD-K92726801	hydrastinine	Haemostatic agent		Haemostatic agent
cp	BRD-A65767837	hydrocortisone	Glucocorticoid receptor agonist	ANXA1, NOS2, NR3C1, NR3C2	Glucocorticoid receptor agonist
cp	BRD-A07000685	hydrocortisone	Glucocorticoid receptor agonist	ANXA1, NOS2, NR3C1, NR3C2	Glucocorticoid receptor agonist
cp	BRD-A46186775	hydrocortisone	Glucocorticoid receptor agonist	ANXA1, NOS2, NR3C1, NR3C2	Glucocorticoid receptor agonist
cp	BRD-A25143711	hydrocortisone	Glucocorticoid receptor agonist	ANXA1, NOS2, NR3C1, NR3C2	Glucocorticoid receptor agonist
cp	BRD-K73978287	hydrocortisone	Glucocorticoid receptor agonist	ANXA1, NOS2, NR3C1, NR3C2	Glucocorticoid receptor agonist, Immunosuppressant, Corticosteroid agonist
cp	BRD-K37447567	hydrocotarnine	Opioid receptor antagonist		Opioid receptor antagonist
cp	BRD-K36862742	hydroflumethiazide	Sodium/potassium/chloride transporter inhibitor	SLC12A1, ATP1A1, CA1, CA12, CA2, CA4, CA9, KCNMA1	Sodium/potassium/chloride transporter inhibitor
cp	BRD-A06390036	hydroquinidine	Antiarrhythmic		Antiarrhythmic
cp	BRD-A78295502	hydroquinine	Antiarrhythmic		Antiarrhythmic
cp	BRD-A36707673	hydroxycholesterol	LXR agonist	ABCA1, NR1H2, NR1H3	LXR agonist
cp	BRD-K77793136	hydroxyfasudil	Rho associated kinase inhibitor	ROCK1, PKIA, PRKACA, ROCK2	Rho associated kinase inhibitor
cp	BRD-K46424862	hymecromone	Monoamine oxidase inhibitor	MAOA	Monoamine oxidase inhibitor
cp	BRD-K40530731	hyoscyamine	Acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4	Acetylcholine receptor antagonist
cp	BRD-A80775386	hyperforin	Cyclooxygenase inhibitor	NR1I2, ALOX5, PTGS1, TRPC6	Cyclooxygenase inhibitor, Dopamine uptake inhibitor, Interleukin receptor antagonist, Lipoxygenase inhibitor, Serotonin reuptake inhibitor
cp	BRD-K29673530	hypericin	Tyrosine kinase inhibitor		Tyrosine kinase inhibitor
cp	BRD-K84955386	hyperoside	Glucosidase inhibitor	ACE, AKR1B1, GAA	Glucosidase inhibitor
cp	BRD-K16444452	ibudilast	Leukotriene receptor antagonist	PDE4A, PDE4B, PDE4C, MIF, PDE10A, PDE3A, PDE4D, TLR4, CYSLTR1, IL1B, IL6, PDE11A, PDE5A	Leukotriene receptor antagonist, Phosphodiesterase inhibitor
cp	BRD-A17655518	ibuprofen	Cyclooxygenase inhibitor	PTGS2, PTGS1, ASIC1, BCL2, CFTR, CYP2C8, FABP2, PLAT, PPARG, SLC5A8, THBD	Cyclooxygenase inhibitor, NFkB pathway inhibitor
cp	BRD-K14965640	ibuprofen	Cyclooxygenase inhibitor	PTGS2, PTGS1, ASIC1, BCL2, CFTR, CYP2C8, FABP2, PLAT, PPARG, SLC5A8, THBD	Cyclooxygenase inhibitor
cp	BRD-K65639003	icariin	Phosphodiesterase inhibitor	NMUR2, PDE5A, SORD	Phosphodiesterase inhibitor
cp	BRD-K48869804	icilin	TRPV agonist	TRPA1, TRPM8	TRPV agonist
cp	BRD-K47192521	icosapent	Platelet aggregation inhibitor	PTGS1, PTGS2, ACSL3, ACSL4, FADS1, FFAR1, PPARD, PPARG, SLC8A1, TRPV1	Platelet aggregation inhibitor
cp	BRD-K69650333	idarubicin	Topoisomerase inhibitor	TOP2A	Topoisomerase inhibitor
cp	BRD-K37516142	idebenone	Calcium channel modulator		Calcium channel modulator
cp	BRD-A24191444	ifenprodil	Adrenergic receptor antagonist	GRIN1, GRIN2B	Adrenergic receptor antagonist, Glutamate receptor antagonist
cp	BRD-K51662849	ilomastat	Matrix metalloprotease inhibitor	ACAN, ADAM28, MMP1, MMP12, MMP13, MMP14, MMP2, MMP3, MMP8, MMP9	Matrix metalloprotease inhibitor
cp	BRD-K48722833	iloperidone	Dopamine receptor antagonist	DRD2, HTR2A, HTR1A, HTR6, HTR7, ADRA1A, ADRA2C, DRD1, DRD3, DRD4, HRH1	Dopamine receptor antagonist, Serotonin receptor antagonist
cp	BRD-A45664787	iloprost	Platelet aggregation inhibitor	PTGIR, PTGER1, PTGER2, PDE4A, PDE4B, PDE4C, PDE4D, PLAT, PTGDR, PTGER3, PTGER4, PTGFR, TBXA2R	Platelet aggregation inhibitor, Prostanoid receptor agonist
cp	BRD-K92723993	imatinib	BCR-ABL kinase inhibitor	ABL1, KIT, PDGFRA, BCR, CSF1R, PDGFRB, ABCG2, CYP2C19, CYP2C8, CYP3A5, DDR1, NTRK1, RET	BCR-ABL kinase inhibitor, KIT inhibitor, PDGFR receptor inhibitor
cp	BRD-A10903566	imiloxan	Adrenergic receptor antagonist	ADRA2B	Adrenergic receptor antagonist
cp	BRD-K38436528	imipramine	Norepinephrine reuptake inhibitor	SLC6A2, SLC6A4, CHRM2, ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM3, CHRM4, CHRM5, CYP2C19, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7, KCND2, KCND3, KCNH1, KCNH2, SLC6A3	Norepinephrine reuptake inhibitor, Serotonin reuptake inhibitor
cp	BRD-K26657438	imiquimod	TLR agonist	TLR7, TLR8	TLR agonist, Interferon inducer
cp	BRD-K25906698	immepip	Histamine receptor agonist	HRH3, HRH4	Histamine receptor agonist
cp	BRD-K49519092	immethridine	Histamine receptor agonist	HRH3	Histamine receptor agonist
cp	BRD-K07117950	imperatorin	CDK inhibitor	ACHE, HTR7	CDK inhibitor
cp	BRD-A02481876	importazole	Importin-beta transport receptor inhibitor	KPNB1	Importin-beta transport receptor inhibitor
cp	BRD-A95869247	indapamide	Thiazide diuretic	KCNQ1, CA7, KCNE1, SLC12A3	Thiazide diuretic
cp	BRD-K01649396	indatraline	Norepinephrine transporter inhibitor	SLC6A2, SLC6A3, SLC6A4	Norepinephrine transporter inhibitor
cp	BRD-K33226500	indinavir	HIV protease inhibitor	CYP3A5	HIV protease inhibitor
cp	BRD-K53959060	indirubin	CDK inhibitor	CDK1, CDK5, CCNE1, CDK2, CDK4, CDK5R1, CDK9, GSK3A, GSK3B, LCK, LRRK1, LRRK2	CDK inhibitor, Glycogen synthase kinase inhibitor, Leucine rich repeat kinase inhibitor, SRC inhibitor, Serum/glucocorticoid regulated kinase inhibitor
cp	BRD-K19136521	indirubin	CDK inhibitor	CDK1, CDK5, CCNE1, CDK2, CDK4, CDK5R1, CDK9, GSK3A, GSK3B, LCK, LRRK1, LRRK2	CDK inhibitor
cp	BRD-K01815685	indole	aryl hydrocarbon receptor agonist	AHR, IDO1	aryl hydrocarbon receptor agonist
cp	BRD-K79353516	indolophenanthridine	CALY activator	CALY, DRD1	CALY activator
cp	BRD-K57222227	indometacin	Cyclooxygenase inhibitor	PTGS1, PTGS2, PPARG, PTGDR2, GLO1, PLA2G2A, PPARA, PTGR2, SLC46A1	Cyclooxygenase inhibitor
cp	BRD-A44090213	indoprofen	Cyclooxygenase inhibitor	PTGS1, PTGS2, CXCR1, CXCR2	Cyclooxygenase inhibitor, Prostanoid receptor antagonist
cp	BRD-A52650764	ingenol	PKC activator	PRKCD, PRKCE	PKC activator
cp	BRD-K43860855	iobenguane	Antineoplastic		Antineoplastic
cp	BRD-A37492983	iocetamic-acid	Radiopaque medium		Radiopaque medium
cp	BRD-K88868628	iodoacetic-acid	Cysteine peptidase inhibitor		Cysteine peptidase inhibitor
cp	BRD-K51918615	iodophenpropit	Histamine receptor antagonist	HRH3, HRH4, GRIN2B	Histamine receptor antagonist
cp	BRD-A42628519	iopanoic-acid	Radiopaque medium		Radiopaque medium
cp	BRD-K79124250	ioxaglic-acid	Radiopaque medium		Radiopaque medium
cp	BRD-A05352148	ipratropium	Acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	Acetylcholine receptor antagonist
cp	BRD-K93618743	ipriflavone	Bone resorption inhibitor		Bone resorption inhibitor
cp	BRD-K88568253	iproniazid	Monoamine oxidase inhibitor	MAOA, MAOB	Monoamine oxidase inhibitor
cp	BRD-K90574421	ipsapirone	Serotonin receptor agonist	HTR1A	Serotonin receptor agonist
cp	BRD-K60038276	irbesartan	Angiotensin receptor antagonist	AGTR1, JUN, SLC10A1	Angiotensin receptor antagonist
cp	BRD-K92678294	irilin-a	Isoflavone		Isoflavone
cp	BRD-K08547377	irinotecan	Topoisomerase inhibitor	TOP1, CYP3A5, TOP1MT	Topoisomerase inhibitor
cp	BRD-K74195153	irsogladine	Phosphodiesterase inhibitor	PDE4A	Phosphodiesterase inhibitor
cp	BRD-A26845397	isamoltan	Adrenergic receptor antagonist	ADRB1, ADRB2	Adrenergic receptor antagonist
cp	BRD-K86509404	iso-olomoucine	CDK inhibitor		CDK inhibitor
cp	BRD-K93332168	isocarboxazid	Monoamine oxidase inhibitor	MAOA, MAOB	Monoamine oxidase inhibitor
cp	BRD-K05737787	isoeugenol	Nitric oxide production inhibitor		Nitric oxide production inhibitor
cp	BRD-K29173907	isoflupredone	Glucocorticoid receptor agonist	NR3C1	Glucocorticoid receptor agonist
cp	BRD-A52326238	isogedunin	HSP inhibitor		HSP inhibitor
cp	BRD-K33583600	isoliquiritigenin	Guanylate cyclase activator	AKR1B1, HRH2, SIRT1	Guanylate cyclase activator
cp	BRD-K73991644	isoquercetin	Aldose reductase inhibitor	AKR1B1, ACE	Aldose reductase inhibitor
cp	BRD-K37080523	isoreserpine	Vesicular monoamine transporter inhibitor	SLC18A2, SLC18A1, SIAH1	Vesicular monoamine transporter inhibitor
cp	BRD-K06198550	isorotenone	Mitochondrial complex I inhibitor	MT-ND1	Mitochondrial complex I inhibitor, NADH-ubiquinone oxidoreductase (Complex I) inhibitor
cp	BRD-K76723084	isotretinoin	Retinoid receptor agonist	CYP2B6, CYP2C19, CYP2C8, CYP3A5, CYP3A7, NR2C2, PPARD, RARA, RARB, RARG, RORB, RORC	Retinoid receptor agonist
cp	BRD-A75552914	isoxicam	Cyclooxygenase inhibitor	PTGS1, PTGS2	Cyclooxygenase inhibitor
cp	BRD-A16700644	isoxsuprine	Adrenergic receptor agonist	ADRB2	Adrenergic receptor agonist
cp	BRD-K64881305	ispinesib	Kinesin-like spindle protein inhibitor	KIF11	Kinesin-like spindle protein inhibitor
cp	BRD-A90799790	isradipine	Calcium channel blocker	CACNA1C, CACNA1D, CACNA2D1, CACNA1F, CACNA1H, CACNA1S, CACNA2D2, CACNB2	Calcium channel blocker
cp	BRD-K96740444	itopride	Dopamine receptor antagonist	DRD2, ACHE, CHRM3	Dopamine receptor antagonist
cp	BRD-A34817987	itraconazole	Cytochrome P450 inhibitor	CYP3A5, CYP3A7, CYP51A1, KDR	Cytochrome P450 inhibitor
cp	BRD-K64402243	ivachtin	Caspase inhibitor	CASP3	Caspase inhibitor
cp	BRD-A48570745	ivermectin	GABA receptor agonist	CHRNA7, GABRB3, GLRA3, P2RX7	GABA receptor agonist
cp	BRD-A43849199	karakoline	Phytotoxin		Phytotoxin
cp	BRD-A75455249	kavain	Calcium channel modulator	MTOR	Calcium channel modulator, Sodium channel blocker
cp	BRD-K09497549	kawain	Calcium channel modulator	MTOR	Calcium channel modulator, MTOR inhibitor, Sodium channel blocker
cp	BRD-K37312348	kenpaullone	CDK inhibitor	GSK3B, CDK1, CDK5, CCNB1, CDK2, LCK	CDK inhibitor, Glycogen synthase kinase inhibitor
cp	BRD-K49671696	ketanserin	Serotonin receptor antagonist	HTR2A, HTR2C, ADRA1A, ADRA1B, ADRA1D, DRD1, DRD5, HTR1A, HTR1B, HTR1D, HTR2B, HTR5A, HTR7, SLC18A1, SLC18A2	Serotonin receptor antagonist
cp	BRD-K29113274	ketoconazole	Sterol demethylase inhibitor	AR, CYP19A1, CYP21A2, CYP2C19, CYP3A5, CYP3A7, KCNA10	Sterol demethylase inhibitor
cp	BRD-A97739905	ketoprofen	Cyclooxygenase inhibitor	PTGS2, PTGS1, CXCR1, SLC5A8	Cyclooxygenase inhibitor
cp	BRD-A40639672	ketorolac	Cyclooxygenase inhibitor	PTGS1, PTGS2	Cyclooxygenase inhibitor
